"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.732328801E2,2.735900879E-1,4.134964371E1,-2.649566650E0
6.732429231E2,2.796936035E-1,4.141281509E1,-2.618164062E0
6.732529661E2,1.981658936E-1,4.138097000E1,-2.749969482E0
6.732630091E2,2.274475098E-1,4.134106064E1,-2.612091064E0
6.732730521E2,3.270874023E-1,4.128045273E1,-2.605545044E0
6.732830951E2,2.182617188E-1,4.135962296E1,-2.700775146E0
6.732931381E2,2.360076904E-1,4.130968094E1,-2.499298096E0
6.733031811E2,1.351470947E-1,4.135034561E1,-2.648956299E0
6.733132241E2,2.491607666E-1,4.145067215E1,-2.529708862E0
6.733232671E2,1.820526123E-1,4.144405746E1,-2.587677002E0
6.733333101E2,2.675933838E-1,4.156328964E1,-2.572067261E0
6.733433531E2,2.901763916E-1,4.146744919E1,-2.433364868E0
6.733533961E2,3.565216064E-1,4.160277176E1,-2.444427490E0
6.733634391E2,3.944091797E-1,4.161240768E1,-2.358581543E0
6.733734821E2,3.479003906E-1,4.159642410E1,-2.632812500E0
6.733835251E2,3.638305664E-1,4.151245499E1,-2.583251953E0
6.733935681E2,2.945556641E-1,4.138804245E1,-2.425781250E0
6.734036111E2,3.340911865E-1,4.156660843E1,-2.530319214E0
6.734136541E2,3.672790527E-1,4.149773026E1,-2.249008179E0
